IE27 JWXN 1587 7831 8586 98,OnEnterprise Headquarter,5269142.96
PK09 IJZR R7EE YCUR 38TC Y0VI,OnEnterprise Main Branch,826937.51
FR46 0926 7738 25AS ROZL T7XP I63,OnEnterprise Branch 1,6101403.15
LU17 444K 9B9X HVSR GMI1,OnEnterprise Branch 2,6395053.59
MT23 GLFB 3581 4DOA L5S8 MWMF XMTF D0T,OnEnterprise Branch 3,5991839.71
MK84 821A RO1P XKSD T87,OnEnterprise Branch 4,7876794.37
IL37 6772 0158 5897 2645 718,OnEnterprise Headquarter,1336478.64
TR51 2378 9UU6 FK4L YD2C 22RO GY,OnEnterprise Main Branch,2073855.3
FR36 2776 4886 09KL CNVM 7ADZ X34,OnEnterprise Branch 1,9735190.21
IT65 M611 1508 313P B89S STYR NZR,OnEnterprise Branch 2,8219375.2
AT19 7248 9463 2965 2089,OnEnterprise Branch 3,5981159.65
KZ49 5911 FJMB R90B 9UZ3,OnEnterprise Branch 4,2103464.93
BE27 3878 6030 0407,OnEnterprise Headquarter,2801603.81
FR94 4171 8502 59QF FAFA V1H7 Y42,OnEnterprise Main Branch,8260550.89
AL39 8396 0236 MIRT 5NJB QFVL OGAC,OnEnterprise Branch 1,5849600.14
AZ55 YXSD FPCT F66A G1RQ D4DZ 45UV,OnEnterprise Branch 2,4742082.08
FR28 6865 9181 128H EEW3 A1YW G39,OnEnterprise Branch 3,4981337.47
FI80 2624 5311 0224 48,OnEnterprise Branch 4,5675396.58
FI84 9985 6156 4774 37,OnEnterprise Headquarter,8178984.57
BR89 4879 6486 3287 3156 5658 775Y J,OnEnterprise Main Branch,8486934.62
BG96 ETUB 0310 68IK 5JKQ 2K,OnEnterprise Branch 1,5992868.83
AD96 7587 6014 YORV YBYM SNQZ,OnEnterprise Branch 2,9344296.12
MT82 LEWN 4414 6FE1 XDG4 UIKZ GOUH EFT,OnEnterprise Branch 3,7197280.28
FR14 3699 5307 180X 6SCE 3LEP 240,OnEnterprise Branch 4,6610834.24
PT14 8050 7476 7654 8427 8674 6,OnEnterprise Headquarter,6039061.56
SM35 T247 8377 969L 3JLQ EVZN UAT,OnEnterprise Main Branch,4214058.05
IS82 7535 7277 2457 1361 5848 78,OnEnterprise Branch 1,7214292.87
FR80 3134 7483 303E ZCIX Y7OR 975,OnEnterprise Branch 2,5203408.92
FI77 8531 7710 5509 86,OnEnterprise Branch 3,1310225.43
IS89 4197 9022 1205 3726 2882 62,OnEnterprise Branch 4,7997200.07
FR93 3650 3037 51DW YT9U IZZO 556,OnEnterprise Headquarter,5986506.07
SA40 69CO UFHW LHND OH3X P44H,OnEnterprise Main Branch,8579736.71
DK94 8533 1402 7848 43,OnEnterprise Branch 1,4242005.21
MD26 FQBN TZEJ DEM4 YJGG DGEO,OnEnterprise Branch 2,5951067.19
FR37 7512 4752 799X RM4F 8JQ4 H50,OnEnterprise Branch 3,227224.93
MC39 2996 2679 64ZH 4VF4 2DPQ L27,OnEnterprise Branch 4,3377583.04
FR31 3680 2514 51AU KDJC NOIM 968,OnEnterprise Headquarter,3975311.02
LV02 VPKY JWNE JPEI LYQ1 O,OnEnterprise Main Branch,9514187.83
IS55 9639 5418 7558 7567 6405 60,OnEnterprise Branch 1,8814805.24
KZ30 458D X3LE GZP8 XT0L,OnEnterprise Branch 2,6028160.15
LI94 8367 0FHY XJH8 MI8K 9,OnEnterprise Branch 3,4066966.36
GR80 1651 071S ODMS POQF F9UN VKC,OnEnterprise Branch 4,7613108.1
LU93 632U BHCB GYVP DZAW,OnEnterprise Headquarter,2511326.82
GI33 ESCF UEPH YV5N 2JKU OKX,OnEnterprise Main Branch,2194789.42
ME66 0381 3883 0511 2622 37,OnEnterprise Branch 1,605181.66
CR42 0020 1307 2229 5809 9,OnEnterprise Branch 2,8005963.76
DK57 5964 7542 9570 70,OnEnterprise Branch 3,1680291.5
AL52 0864 8876 2PIJ Q0GF PFAN XU4O,OnEnterprise Branch 4,500339.55
IT94 N543 8965 515W 5QSC LPOF OHW,OnEnterprise Headquarter,7674416.19
FR06 9646 5492 21FM TUGG JTRH X75,OnEnterprise Main Branch,884139.04
RS82 0325 4694 1186 1311 82,OnEnterprise Branch 1,2640897.63
GT49 CBVN WUDS FKFK RELG YWJD EDWB,OnEnterprise Branch 2,6171701.27
FR75 9958 5331 64FG HQQY DIGT F81,OnEnterprise Branch 3,9011582.39
AT75 1872 6339 6664 0948,OnEnterprise Branch 4,3203674.7
SK88 7904 8984 5275 8371 4210,OnEnterprise Headquarter,464806.89
FR29 1688 8912 61NK FN9H MZGD B20,OnEnterprise Main Branch,7727610.58
FR30 8878 2970 84QU NOMN EGDN B58,OnEnterprise Branch 1,9500919.11
IE21 MIEN 0743 4460 8208 21,OnEnterprise Branch 2,1950483.4
PL66 5000 6577 1081 3720 3628 1409,OnEnterprise Branch 3,8005273.18
FR05 5328 9841 20MM 8XV9 R8PM N69,OnEnterprise Branch 4,8173856.17
DO82 UMYZ 8003 1495 0685 7455 9268,OnEnterprise Main Branch,5465335.58
ME96 4400 0886 1774 5856 23,OnEnterprise Branch 1,3951583.5
FR93 8409 1280 70O2 TB63 YWVQ E50,OnEnterprise Branch 2,9777430.53
FR16 7444 4171 07NW ZPGS QXT6 A11,OnEnterprise Branch 3,2690357.56
